Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:28:46 796,0.03,33.33,1844000,2362000,15,11942,-440,330,4.284415,-1.89,8.08,7.07,8.08,6.06,29.29,1.01,5.05,0,0,6.06
15:28:46 913,0.03,49.48,1844000,2362000,9,17913,-725,330,4.267355,-3.09,8.25,6.19,7.22,7.22,28.87,1.03,12.37,3.09,4.12,20.62
15:28:47 032,0.03,47.25,1844000,2362000,9,17913,-1111,330,4.243491,-4.71,5.49,4.4,5.49,4.4,19.78,6.59,13.19,3.3,5.49,28.57
15:28:47 166,0.03,58.24,1402000,2362000,7,17913,-1468,330,4.220894,-6.2,4.4,5.49,6.59,3.3,19.78,9.89,8.79,9.89,9.89,38.46
15:28:47 286,0.03,52.83,999000,2362000,16,17913,-1546,330,4.21484,-6.52,7.55,3.77,3.77,6.6,21.7,7.55,7.55,8.49,6.6,30.19
15:28:47 406,0.03,52.69,1709000,2362000,6,17913,-1475,330,4.219056,-6.22,6.45,5.38,5.38,2.15,19.35,7.53,7.53,7.53,11.83,34.41
15:28:47 531,0.03,53.47,1402000,2362000,9,17913,-1531,330,4.215572,-6.45,2.97,4.95,2.97,6.93,17.82,8.91,8.91,8.91,7.92,34.65
15:28:47 658,0.03,47.42,1709000,2362000,0,17913,-1568,330,4.213167,-6.61,4.12,7.22,3.09,4.12,18.56,7.22,7.22,7.22,8.25,29.9
15:28:47 777,0.03,43.43,1709000,2362000,9,17913,-1401,330,4.222969,-5.92,6.06,5.05,9.09,9.09,29.29,9.09,0,1.01,1.01,11.11
15:28:47 896,0.03,19.57,999000,2362000,12,17913,-801,330,4.260126,-3.41,6.52,3.26,7.61,5.43,22.83,0,0,0,0,0
15:28:48 021,0.03,20.83,999000,903000,9,17913,-553,330,4.275904,-2.36,5.21,2.08,5.21,6.25,18.75,0,0,0,0,0
15:28:48 143,0.03,32.67,1709000,903000,10,6576,-517,330,4.27856,-2.21,5.94,11.88,5.94,6.93,30.69,0.99,1.98,0,0,2.97
15:28:48 282,0.03,37.61,1844000,2362000,9,10243,-425,330,4.28425,-1.82,5.5,8.26,8.26,8.26,30.28,0,6.42,0,0,6.42
15:28:48 404,0.03,49.49,1844000,2362000,10,17913,-831,330,4.260233,-3.54,8.08,9.09,10.1,10.1,37.37,0,13.13,1.01,1.01,15.15
15:28:48 524,0.03,49.49,1844000,2362000,14,17913,-1246,330,4.234429,-5.28,6.06,4.04,6.06,5.05,21.21,5.05,12.12,6.06,4.04,27.27
15:28:48 639,0.03,56.32,1844000,2362000,7,17913,-1577,330,4.213401,-6.64,3.45,2.3,5.75,3.45,14.94,10.34,11.49,10.34,10.34,42.53
15:28:48 754,0.03,53.68,1844000,2362000,2,17913,-1778,330,4.199993,-7.47,2.11,4.21,6.32,4.21,16.84,10.53,7.37,8.42,10.53,36.84
